title,function,function_group,industries,industry_group,cluster
business data analyst,"analyst,finance,information technology","Information Technology, Legal and Finance, Research and Analysis","software development,technology,information,internet",Technology and Information,4
ui designer,"art,creative,design","Editing, Writing, and Creative","design services,computer games","Real Estate and Construction, Technology and Information",4
"web frontend engineer - js, css, react, flutter","engineering,information technology","Information Technology, Manufacturing and Engineering","technology,information,internet",Technology and Information,4
m0086 -  packaging design project manager,"project management,information technology","Information Technology, Management and Leadership","technology,information,internet",Technology and Information,4
customer success manager,other,Other,software development,Technology and Information,4
amos business/systems analyst,information technology,Information Technology,"technology,information,internet",Technology and Information,4
"learning specialist (mid-level, remote, contract)",human resources,Human Resources and People Management,"technology,information,internet",Technology and Information,4
data centre engineer (on demand model),information technology,Information Technology,"technology,information,internet",Technology and Information,4
head of customer support & quality assurance,customer service,Customer Service,"technology,information,internet",Technology and Information,4
"environmental, hsec and human rights graduate programme - multinational company",engineering,Manufacturing and Engineering,"technology,information,internet",Technology and Information,4
(native japanese) customer support consultant (fully remotely),customer service,Customer Service,"technology,information,internet",Technology and Information,4
vp of engineering,"engineering,information technology","Information Technology, Manufacturing and Engineering","technology,information,internet",Technology and Information,4
team manager,other,Other,"technology,information,internet",Technology and Information,4
senior enterprise customer success manager (m/f/d),other,Other,software development,Technology and Information,4
speaker manager at hrtechx,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","technology,information,internet",Technology and Information,4
business analyst - software delivery team,analyst,Research and Analysis,"technology,information,internet",Technology and Information,4
junior automation software tester (remote in poland),"engineering,information technology","Information Technology, Manufacturing and Engineering","technology,information,internet",Technology and Information,4
ux designer,design,"Editing, Writing, and Creative","design services,computer games","Real Estate and Construction, Technology and Information",4
data analyst (part time),information technology,Information Technology,"technology,information,internet",Technology and Information,4
unsolicited applications,information technology,Information Technology,"technology,information,internet",Technology and Information,4
offshore data processor,administrative,Administrative and Support,"technology,information,internet",Technology and Information,4
knowledge engineer,engineering,Manufacturing and Engineering,"technology,information,internet",Technology and Information,4
technical support specialist,information technology,Information Technology,"technology,information,internet",Technology and Information,4
ai & business analyst (remote internship),"research,analyst,information technology","Information Technology, Research and Analysis",internet publishing,"Services and Miscellaneous, Technology and Information",4
leadership trainee,other,Other,"technology,information,internet",Technology and Information,4
client specialist ( part time position),customer service,Customer Service,"technology,information,internet",Technology and Information,4
engineering manager,engineering,Manufacturing and Engineering,"technology,information,internet",Technology and Information,4
tech art/graphics programmer,"engineering,information technology","Information Technology, Manufacturing and Engineering",computer games,Technology and Information,4
ux designer,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative",software development,Technology and Information,4
copywriting expert at setsales,other,Other,"technology,information,internet",Technology and Information,4
character artist - outsourcing team,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative",computer games,Technology and Information,4
administrative assistant (remote - hungary) 1 year fixed term,administrative,Administrative and Support,"technology,information,internet",Technology and Information,4
customer success associate,customer service,Customer Service,"technology,information,internet",Technology and Information,4
react native engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","technology,information,internet",Technology and Information,4
"applied mathematician, scientist, or engineer (dk)",engineering,Manufacturing and Engineering,"technology,information,internet",Technology and Information,4
principal architect (6 months freelance remote contract),"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","technology,information,internet",Technology and Information,4
industrial control / automation engineer (dk),engineering,Manufacturing and Engineering,"technology,information,internet",Technology and Information,4
student assistant for business support in global support functions,other,Other,"technology,information,internet",Technology and Information,4
project manager - design & experience team,project management,"Information Technology, Management and Leadership","technology,information,internet",Technology and Information,4
implementation consultant,information technology,Information Technology,software development,Technology and Information,4
customer service agent,other,Other,"technology,information,internet",Technology and Information,4
hr specialist / junior hr business partner,human resources,Human Resources and People Management,software development,Technology and Information,4
speaker manager at setsales,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","technology,information,internet",Technology and Information,4
full stack developer - nodejs / vue,engineering,Manufacturing and Engineering,"technology,information,internet",Technology and Information,4
energy rebel (unsolicited application),other,Other,"technology,information,internet",Technology and Information,4
senior backend developer (python),engineering,Manufacturing and Engineering,"technology,information,internet",Technology and Information,4
project manager - customer onboarding,"project management,information technology","Information Technology, Management and Leadership","technology,information,internet",Technology and Information,4
junior pmo specialist,"project management,information technology","Information Technology, Management and Leadership","technology,information,internet",Technology and Information,4
software developer intern,"engineering,information technology","Information Technology, Manufacturing and Engineering","mechanical or industrial engineering,environmental services,information technology & services","Energy and Environment, Other, Technology and Information",4
"director, cloud and security operations","other,information technology,management","Information Technology, Management and Leadership, Other","technology,information,internet",Technology and Information,4
research internship,"research,analyst,information technology","Information Technology, Research and Analysis","technology,information,internet",Technology and Information,4
client director denmark,other,Other,"technology,information,internet",Technology and Information,4
customer success manager,customer service,Customer Service,"technology,information,internet",Technology and Information,4
customer support agent - billing and subscriptions,customer service,Customer Service,"technology,information,internet",Technology and Information,4
animator,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","technology,information,internet",Technology and Information,4
network engineer,information technology,Information Technology,"technology,information,internet",Technology and Information,4
sr. service manager (poland-based),other,Other,software development,Technology and Information,4
c++ developer,information technology,Information Technology,"technology,information,internet",Technology and Information,4
can't find a specific job advertised? send your cv and join our danish talent pool!,other,Other,"technology,information,internet",Technology and Information,4
level artist,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative",computer games,Technology and Information,4
analytics engineer intern,information technology,Information Technology,"technology,information,internet",Technology and Information,4
unsolicited applications,information technology,Information Technology,"data infrastructure,analytics",Technology and Information,4
technical designer,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative",computer games,Technology and Information,4
"cabin crew - billund, denmark",other,Other,"technology,information,internet",Technology and Information,4
react frontend developer - full-time - wrocław,other,Other,software development,Technology and Information,4
p|esg lead,other,Other,"technology,information,internet",Technology and Information,4
junior ux designer,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","technology,information,internet",Technology and Information,4
ui technical designer,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative",computer games,Technology and Information,4
finance & administration assistant,administrative,Administrative and Support,software development,Technology and Information,4
adm - krakow,other,Other,"technology,information,internet",Technology and Information,4
project manager,"project management,information technology","Information Technology, Management and Leadership",software development,Technology and Information,4
copywriting expert at hrtechx,other,Other,"technology,information,internet",Technology and Information,4
talent scientist,"research,analyst,information technology","Information Technology, Research and Analysis","technology,information,internet",Technology and Information,4
devops engineer (part-time ok),"engineering,information technology","Information Technology, Manufacturing and Engineering","computer,network security","Other, Technology and Information",4
head of hr,human resources,Human Resources and People Management,software development,Technology and Information,4
trainee aircraft mechanic,"engineering,information technology","Information Technology, Manufacturing and Engineering","technology,information,internet",Technology and Information,4
marketing project manager for an ecommerce d2c company,"project management,information technology","Information Technology, Management and Leadership","technology,information,internet",Technology and Information,4
digital ux and ui designer,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","it services,it consulting,information services,telecommunications","Services and Miscellaneous, Technology and Information",4
senior frontend developer,"engineering,information technology","Information Technology, Manufacturing and Engineering",software development,Technology and Information,4
jr qa manual engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering",software development,Technology and Information,4
copywriting manager at hrtechx,other,Other,"technology,information,internet",Technology and Information,4
hr partner,human resources,Human Resources and People Management,computer games,Technology and Information,4
cinematic designer,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative",computer games,Technology and Information,4
clinical trials assistant - poland,"research,analyst,information technology","Information Technology, Research and Analysis",internet publishing,"Services and Miscellaneous, Technology and Information",4
open world designer,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative",computer games,Technology and Information,4
senior project manager,"project management,information technology","Information Technology, Management and Leadership","technology,information,internet",Technology and Information,4
site planner,engineering,Manufacturing and Engineering,"technology,information,internet",Technology and Information,4
qa engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","technology,information,internet",Technology and Information,4
quest designer,design,"Editing, Writing, and Creative",computer games,Technology and Information,4
marketing designer,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative",computer games,Technology and Information,4
speaker manager at insurtech insights,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","technology,information,internet",Technology and Information,4
performance project manager,"project management,information technology","Information Technology, Management and Leadership","technology,information,internet",Technology and Information,4
"medical affairs director, the nordics",health care provider,Healthcare and Science,"technology,information,internet",Technology and Information,4
software test engineer i,"engineering,information technology","Information Technology, Manufacturing and Engineering","technology,information,internet",Technology and Information,4
hardware technician,information technology,Information Technology,internet publishing,"Services and Miscellaneous, Technology and Information",4
people analytics data science intern,other,Other,telecommunications,Technology and Information,4
creative director,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","technology,information,internet",Technology and Information,4
support associate,other,Other,"computer,network security","Other, Technology and Information",4
unsolicited applications,information technology,Information Technology,"technology,information,internet",Technology and Information,4
it security specialist,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
unsolicited application,information technology,Information Technology,spectator sports,Services and Miscellaneous,5
application support specialist,information technology,Information Technology,"transportation,logistics,supply chain,storage,motor vehicle manufacturing,truck transportation","Manufacturing, Services and Miscellaneous, Transportation and Logistics",5
technical superintendent - m.h. simonsen,"engineering,information technology","Information Technology, Manufacturing and Engineering",maritime transportation,Transportation and Logistics,5
senior tableau developer,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
automation engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering",biotechnology,Healthcare and Pharmaceuticals,5
"solutions design engineer, projects","engineering,information technology","Information Technology, Manufacturing and Engineering","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",5
node.js full - stack developer,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
tester it,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
it security consultant,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
node.js  developer,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
data scientist,"engineering,information technology","Information Technology, Manufacturing and Engineering","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",5
"business solution tester, finance","engineering,information technology","Information Technology, Manufacturing and Engineering",retail,Retail and Consumer Goods,5
software engineer in test (intern),"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
"software engineer, platform","engineering,information technology","Information Technology, Manufacturing and Engineering","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",5
technical project manager,"project management,information technology,engineering","Information Technology, Management and Leadership, Manufacturing and Engineering","it services,it consulting,software development,retail","Retail and Consumer Goods, Services and Miscellaneous, Technology and Information",5
java developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
mobile developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
java support engineer,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
frontend engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","aviation,aerospace component manufacturing",Aerospace and Defense,5
it service delivery leader - core infrastructure services,information technology,Information Technology,"transportation,logistics,supply chain,storage,motor vehicle manufacturing,truck transportation","Manufacturing, Services and Miscellaneous, Transportation and Logistics",5
fullstack developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
senior frontend engineer - react,"engineering,information technology","Information Technology, Manufacturing and Engineering","gambling facilities,casinos",Other,5
c#.net developer,"information technology,engineering","Information Technology, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
junior cyber security specialist (remote it internship – cybersecurity),"engineering,information technology","Information Technology, Manufacturing and Engineering","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",5
enterprise architect / remote,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
it solution consultant,"engineering,information technology","Information Technology, Manufacturing and Engineering","retail furniture,home furnishings",Retail and Consumer Goods,5
site reliability engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering",internet publishing,"Services and Miscellaneous, Technology and Information",5
machine learning engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","advertising services,software development,technology,information,internet","Services and Miscellaneous, Technology and Information",5
agile coach,"engineering,information technology","Information Technology, Manufacturing and Engineering","wellness,fitness services",Services and Miscellaneous,5
head of electrical engineering,"engineering,information technology","Information Technology, Manufacturing and Engineering",biotechnology,Healthcare and Pharmaceuticals,5
talented it developers,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
business analyst,"research,analyst,information technology","Information Technology, Research and Analysis","it services,it consulting",Services and Miscellaneous,5
senior specialist - quality engineering,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
sign up to our cv database!,information technology,Information Technology,engineering services,Services and Miscellaneous,5
"senior specialist, data intelligence",information technology,Information Technology,advertising services,Services and Miscellaneous,5
join our group (unsolicited application – groupm – copenhagen),information technology,Information Technology,"advertising services,market research,online audio,video media",Services and Miscellaneous,5
technical support specialist,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
hotel technician,"engineering,information technology","Information Technology, Manufacturing and Engineering",hospitality,Services and Miscellaneous,5
digital performance intern,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative",advertising services,Services and Miscellaneous,5
【it】data scientist,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting,computer hardware manufacturing","Manufacturing, Services and Miscellaneous",5
job opening for _ lead solution architect,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
frontend js developer,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
frontend developer to international consultancy,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
android app developer [bgsw],"engineering,information technology","Information Technology, Manufacturing and Engineering",mechanical or industrial engineering,Other,5
service area leader - application infrastructure integration services,information technology,Information Technology,"transportation,logistics,supply chain,storage,motor vehicle manufacturing,truck transportation","Manufacturing, Services and Miscellaneous, Transportation and Logistics",5
unsolicited application - wavemaker,information technology,Information Technology,advertising services,Services and Miscellaneous,5
mid software engineer (genai/ai) - poland,"engineering,information technology","Information Technology, Manufacturing and Engineering",internet publishing,"Services and Miscellaneous, Technology and Information",5
account development manager,"engineering,information technology","Information Technology, Manufacturing and Engineering","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",5
.net developers,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
intern web developer,"engineering,information technology","Information Technology, Manufacturing and Engineering",internet publishing,"Services and Miscellaneous, Technology and Information",5
web graphic designer,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","e-learning providers,education administration programs","Education and Non-profit, Services and Miscellaneous",5
it security specialist,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
reach truck driver,information technology,Information Technology,"transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",5
data scientist / machine learning engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","health,human services",Healthcare and Pharmaceuticals,5
frontend engineer (poland remote),"engineering,information technology","Information Technology, Manufacturing and Engineering",internet publishing,"Services and Miscellaneous, Technology and Information",5
digital product owner,information technology,Information Technology,"transportation,logistics,supply chain,storage,motor vehicle manufacturing,truck transportation","Manufacturing, Services and Miscellaneous, Transportation and Logistics",5
"software engineer, university graduate, 2024","information technology,engineering","Information Technology, Manufacturing and Engineering","information services,technology,information,internet","Services and Miscellaneous, Technology and Information",5
it support student assistant,information technology,Information Technology,"transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",5
audio engineer for game development project,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
data scientist,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting,software development,computer,network security","Other, Services and Miscellaneous, Technology and Information",5
cnc engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering",internet publishing,"Services and Miscellaneous, Technology and Information",5
propulsion systems engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering",internet publishing,"Services and Miscellaneous, Technology and Information",5
cloud engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
freelance data center engineer,"information technology,engineering,project management","Information Technology, Management and Leadership, Manufacturing and Engineering","it services,it consulting,computer,network security,technology,information,internet","Other, Services and Miscellaneous, Technology and Information",5
software engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","information services,software development,technology,information,internet","Services and Miscellaneous, Technology and Information",5
junior python developer (remote internship – it),"engineering,information technology","Information Technology, Manufacturing and Engineering","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",5
deskside support,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
nodejs developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
"graduate engineers (mechanical, electrical, materials science, chemistry)","engineering,information technology","Information Technology, Manufacturing and Engineering","glass,ceramics,concrete manufacturing",Other,5
senior frontend engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",5
junior system engineer,information technology,Information Technology,"it services,it consulting,defense,space manufacturing,security,investigations","Aerospace and Defense, Services and Miscellaneous",5
sqa engineer axis,"engineering,information technology","Information Technology, Manufacturing and Engineering","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",5
junior service engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","aviation,aerospace component manufacturing",Aerospace and Defense,5
software developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",5
propulsion ait technician,"engineering,information technology","Information Technology, Manufacturing and Engineering",internet publishing,"Services and Miscellaneous, Technology and Information",5
oracle lead support analyst,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
test engineer,"information technology,analyst","Information Technology, Research and Analysis","it services,it consulting",Services and Miscellaneous,5
project manager – digitalization,"manufacturing,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting,information services,industrial machinery manufacturing","Manufacturing, Services and Miscellaneous",5
javascript developer with react,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
trading solutions developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting,information services,software development","Services and Miscellaneous, Technology and Information",5
online data analyst,"analyst,information technology,other","Information Technology, Other, Research and Analysis","it services,it consulting",Services and Miscellaneous,5
unsolicited application - wavemaker,information technology,Information Technology,"advertising services,market research,online audio,video media",Services and Miscellaneous,5
qa engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",5
junior digital specialist with arabic,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative",advertising services,Services and Miscellaneous,5
business analyst intern (krakow-remote),"research,analyst,information technology","Information Technology, Research and Analysis","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",5
senior petroleum engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","oil,gas",Energy and Environment,5
ai applied scientist,"engineering,information technology","Information Technology, Manufacturing and Engineering","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",5
it security consultant,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
test site technician,"engineering,information technology","Information Technology, Manufacturing and Engineering",internet publishing,"Services and Miscellaneous, Technology and Information",5
netsuite functional consultant,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
cloud solution architect / denmark,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
nodejs developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
it support agent with english with night shifts,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
internship - software engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","aviation,aerospace component manufacturing",Aerospace and Defense,5
artist for game development project,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","it services,it consulting",Services and Miscellaneous,5
senior developer for ml applications,"engineering,finance,information technology","Information Technology, Legal and Finance, Manufacturing and Engineering","oil,gas",Energy and Environment,5
senior business analyst,"information technology,engineering,finance","Information Technology, Legal and Finance, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
backend engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",5
devops engineer - fully remote,"engineering,information technology","Information Technology, Manufacturing and Engineering",internet publishing,"Services and Miscellaneous, Technology and Information",5
senior ux/ui designer,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",5
oracle netsuite erp developer,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
data science & bi developer,information technology,Information Technology,spectator sports,Services and Miscellaneous,5
junior engineers,"engineering,information technology","Information Technology, Manufacturing and Engineering",maritime,Transportation and Logistics,5
software developer in risk,"finance,information technology,engineering","Information Technology, Legal and Finance, Manufacturing and Engineering","oil,gas",Energy and Environment,5
senior ui designer,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative","it services,it consulting",Services and Miscellaneous,5
junior digital specialist,"design,art,creative,information technology","Editing, Information Technology, Writing, and Creative",advertising services,Services and Miscellaneous,5
senior python developer,"engineering,information technology","Information Technology, Manufacturing and Engineering",utilities,Other,5
mechanical engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering","it services,it consulting",Services and Miscellaneous,5
java backend developer in salling group,"engineering,information technology","Information Technology, Manufacturing and Engineering",retail,Retail and Consumer Goods,5
storage architect,information technology,Information Technology,"it services,it consulting",Services and Miscellaneous,5
fullstack developer,"engineering,information technology","Information Technology, Manufacturing and Engineering","medical equipment manufacturing,biotechnology research,hospitals,health care",Healthcare and Pharmaceuticals,5
product owner - inventory team,"information technology,product management,engineering","Information Technology, Management and Leadership, Manufacturing and Engineering","it services,it consulting,software development,retail","Retail and Consumer Goods, Services and Miscellaneous, Technology and Information",5
frontend developer,"engineering,information technology","Information Technology, Manufacturing and Engineering",farming,Other,5
release engineer,"engineering,information technology","Information Technology, Manufacturing and Engineering",internet publishing,"Services and Miscellaneous, Technology and Information",5
front end web developer intern (budapest-remote),"engineering,information technology","Information Technology, Manufacturing and Engineering","transportation,logistics,supply chain,storage","Services and Miscellaneous, Transportation and Logistics",5
unsolicited applications for student assistants,administrative,Administrative and Support,utilities,Other,6
food server,,Other,,Other,6
chief accountant,,Other,,Other,6
student teacher,"education,training",Education and Training,education administration programs,Education and Non-profit,6
"qa manager, software development",quality assurance,Manufacturing and Engineering,retail,Retail and Consumer Goods,6
load engineer,,Other,,Other,6
purchase kam italy,,Other,,Other,6
future opportunities in tagvenue!,,Other,,Other,6
maskinmester,,Other,,Other,6
ui/ux designer (internship),,Other,,Other,6
intern for strategic sustainability consulting,management,Management and Leadership,civil engineering,Real Estate and Construction,6
project officer,other,Other,international affairs,Other,6
president,,Other,,Other,6
project support,other,Other,education administration programs,Education and Non-profit,6
long term substitute - kindergarten dual language teacher,"education,training",Education and Training,education administration programs,Education and Non-profit,6
"logistics co-worker for night and morning shift,10 hours per week, aalborg",supply chain,Purchasing and Supply Chain,retail,Retail and Consumer Goods,6
elementary teacher,"education,training",Education and Training,education administration programs,Education and Non-profit,6
reservation & ticketing agent,,Other,,Other,6
industrial engineer,,Other,,Other,6
project officer,other,Other,international affairs,Other,6
consultant,,Other,,Other,6
"buyer, occasion and pants","purchasing,strategy,planning,product management","Management and Leadership, Purchasing and Supply Chain","retail apparel,fashion","Other, Retail and Consumer Goods",6
classroom assistant,administrative,Administrative and Support,education administration programs,Education and Non-profit,6
junior recruiter,other,Other,"outsourcing,offshoring consulting",Other,6
athlete i,customer service,Customer Service,retail,Retail and Consumer Goods,6
call for expression of interest: various profiles,other,Other,non-profit organizations,Education and Non-profit,6
procurement specialist,,Other,,Other,6
senior mechanical engineer,,Other,,Other,6
child nutrition assistant,health care provider,Healthcare and Science,education administration programs,Education and Non-profit,6
electronics technician,,Other,,Other,6
procurement specialist,"purchasing,supply chain",Purchasing and Supply Chain,medical equipment manufacturing,Healthcare and Pharmaceuticals,6
we are looking for talented architectural interns to join our office in aarhus from spring semester 2024.,design,"Editing, Writing, and Creative","architecture,planning",Real Estate and Construction,6
production worker,,Other,,Other,6
"production planner, produktionsplanlægger",,Other,,Other,6
customer success engineer associate,,Other,,Other,6
copywriter,,Other,,Other,6
sales representative,,Other,,Other,6
business controller reporting to cfo,,Other,,Other,6
industrioperatør i højteknologisk produktionsvirksomhed,,Other,,Other,6
human rescources intern,,Other,,Other,6
omnichannel buyer,"purchasing,strategy,planning,product management","Management and Leadership, Purchasing and Supply Chain","retail apparel,fashion","Other, Retail and Consumer Goods",6
customer success manager (taiwan),other,Other,"hospitals,health care",Healthcare and Pharmaceuticals,6
product quality manager,quality assurance,Manufacturing and Engineering,biotechnology research,Healthcare and Pharmaceuticals,6
sales executive,,Other,,Other,6
hr generalist,human resources,Human Resources and People Management,mechanical or industrial engineering,Other,6
senior project manager – ports and marine,engineering,Manufacturing and Engineering,civil engineering,Real Estate and Construction,6
compliance manager,"legal,quality assurance","Legal and Finance, Manufacturing and Engineering","retail apparel,fashion,design services,retail luxury goods,jewelry","Other, Real Estate and Construction, Retail and Consumer Goods",6
business central solution architect,,Other,,Other,6
"temporary appointment- hr assistant (course developer), gs5 in global learning centre, hr operations section, unicef global shared services centre, budapest, hungary","business development,general business,accounting,auditing",Management and Leadership,"non-profit organizations,consumer services","Education and Non-profit, Retail and Consumer Goods",6
school age child care site assistant,other,Other,"health,wellness & fitness","Healthcare and Pharmaceuticals, Other",6
#new spirit offshore programme - your entry point into the exciting world of offshore wind,other,Other,utilities,Other,6
cook,,Other,,Other,6
team assistant,administrative,Administrative and Support,professional services,Other,6
digital content creator,,Other,,Other,6
"manager, international human resources",human resources,Human Resources and People Management,"professional training,coaching",Education and Non-profit,6
head of property,management,Management and Leadership,"restaurants,food,beverage services",Food and Beverage,6
r&d scientist (2 year),other,Other,biotechnology research,Healthcare and Pharmaceuticals,6
e-commerce assistant,,Other,,Other,6
post doctor – “clearcut-free” forestry in sweden,other,Other,higher education,Education and Non-profit,6
purchasing manager - services and products,"purchasing,supply chain",Purchasing and Supply Chain,"hospitals,health care",Healthcare and Pharmaceuticals,6
head of ir / publicly listed and otc-listed conglomerate,other,Other,"food,beverage services,consumer services,retail","Food and Beverage, Retail and Consumer Goods",6
sourcing specialist,"purchasing,supply chain",Purchasing and Supply Chain,retail,Retail and Consumer Goods,6
veterinarian specialist for customer success,customer service,Customer Service,"veterinary services,medical equipment manufacturing","Healthcare and Pharmaceuticals, Other",6
project designer,,Other,,Other,6
gallery manager & communications lead,,Other,,Other,6
assistant head chef,"general business,management,business development",Management and Leadership,"food,beverage services",Food and Beverage,6
key account associate manager,,Other,,Other,6
hr advisor,human resources,Human Resources and People Management,"retail apparel,fashion","Other, Retail and Consumer Goods",6
product manager,,Other,,Other,6
hr administrator,human resources,Human Resources and People Management,"retail apparel,fashion","Other, Retail and Consumer Goods",6
tech-savvy marketing student assistant (part-time),"education,training",Education and Training,farming,Other,6
european gas trader,supply chain,Purchasing and Supply Chain,"oil,gas,international trade,development","Energy and Environment, Other, Transportation and Logistics",6
revisor,,Other,,Other,6
"english language teacher in viby, denmark","education,training",Education and Training,education management,Education and Non-profit,6
executive assistant,,Other,,Other,6
project manager,,Other,,Other,6
event lead,,Other,,Other,6
operational excellence manager,,Other,,Other,6
student recruitment advisor,human resources,Human Resources and People Management,higher education,Education and Non-profit,6
